switchName:	sp-main-san01
switchType:	120.0
switchState:	Online
switchMode:	Native
switchRole:	Principal
switchDomain:	1
switchId:	fffc01
switchWwn:	10:00:c4:f5:7c:c3:a2:53
zoning:		ON (sp_main_san_cfg_01)
switchBeacon:	OFF
FC Router:	OFF
HIF Mode:	OFF

Index Slot Port Address Media  Speed        State    Proto
============================================================
 115   12    3   017300   id    N8 	  Online      FC  F-Port  51:40:2e:c0:01:bf:e0:dc
 116   12    4   017400   id    N16	  Online      FC  F-Port  21:00:00:24:ff:7f:63:d2
 117   12    5   017500   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:0e:9f:d8
 118   12    6   017600   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:10:3c:b0
 119   12    7   017700   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:0f:ef:80
 120   12    8   017800   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:3f:0c:d0
 121   12    9   017900   id    N16	  No_Light    FC
 122   12   10   017a00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c4:1c
 123   12   11   017b00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:b9:bc
 124   12   12   017c00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c4:50
 125   12   13   017d00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bc:60
 126   12   14   017e00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bc:54
 127   12   15   017f00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8f:e8
 240   12   16   01f000   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bd:3c
 241   12   17   01f100   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8d:a4
 242   12   18   01f200   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bb:1c
 243   12   19   01f300   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8c:f0
 244   12   20   01f400   id    N16	  No_Light    FC
 245   12   21   01f500   id    N16	  Online      FC  F-Port  21:00:f4:e9:d4:57:99:58
 246   12   22   01f600   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:7d:30
 247   12   23   01f700   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:87:c4
 248   12   24   01f800   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:88:60
 249   12   25   01f900   id    N16	  No_Light    FC
 250   12   26   01fa00   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:bc:2c
 251   12   27   01fb00   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:ba:5c
 252   12   28   01fc00   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:c8:58
 253   12   29   01fd00   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:b6:64
 254   12   30   01fe00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:88
 255   12   31   01ff00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:89
 368   12   32   01f880   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:8a
 369   12   33   01f980   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:98
 370   12   34   01fa80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:99
 371   12   35   01fb80   id    N16	  No_Light    FC
 372   12   36   01fc80   id    N16	  No_Light    FC
 373   12   37   01fd80   id    N16	  Online      FC  F-Port  50:06:0e:80:12:39:e0:21
 374   12   38   01fe80   id    N16	  No_Light    FC
 375   12   39   01ff80   id    N16	  No_Light    FC
 376   12   40   01f080   id    N16	  Online      FC  F-Port  50:06:01:6a:47:e0:4e:b7
 377   12   41   01f180   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:08
 378   12   42   01f280   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:09
 379   12   43   01f380   id    N16	  No_Light    FC
 380   12   44   01f480   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:18
 381   12   45   01f580   id    N16	  Online      FC  F-Port  50:00:09:75:98:05:88:19
 382   12   46   01f680   id    N16	  No_Light    FC
 383   12   47   01f780   id    N16	  No_Light    FC

